district,poi_category,poi_type,name,rating,monthly_visitors,is_chain,opening_year
新城区,购物中心,中级,西安新城区中级1,3.8,34506,False,2018
新城区,购物中心,中级,西安新城区中级2,4.3,23138,True,2004
新城区,购物中心,中级,西安新城区中级3,3.9,28119,False,2000
新城区,购物中心,中级,西安新城区中级4,4.4,23661,False,2003
新城区,购物中心,中级,西安新城区中级5,4.1,24694,False,2013
新城区,购物中心,中级,西安新城区中级6,3.6,33608,False,2019
新城区,购物中心,中级,西安新城区中级7,4.1,24309,True,2019
新城区,购物中心,中级,西安新城区中级8,4.4,32400,False,2001
新城区,购物中心,普通,西安新城区普通1,3.8,7455,False,2016
新城区,购物中心,普通,西安新城区普通2,3.8,19511,False,2010
新城区,购物中心,普通,西安新城区普通3,3.9,6807,True,2002
新城区,购物中心,普通,西安新城区普通4,4.1,12820,True,2009
新城区,购物中心,普通,西安新城区普通5,3.8,17632,True,2002
新城区,购物中心,普通,西安新城区普通6,3.4,20972,True,2017
新城区,购物中心,普通,西安新城区普通7,3.9,9187,False,2023
新城区,购物中心,普通,西安新城区普通8,3.4,16954,True,2012
新城区,购物中心,普通,西安新城区普通9,4.3,18601,False,2000
新城区,购物中心,普通,西安新城区普通10,3.4,15526,True,2013
新城区,购物中心,普通,西安新城区普通11,3.6,24654,True,2019
新城区,购物中心,普通,西安新城区普通12,4.2,17911,True,2019
新城区,购物中心,普通,西安新城区普通13,3.8,16242,False,2015
新城区,购物中心,普通,西安新城区普通14,4.2,14606,False,2013
新城区,购物中心,普通,西安新城区普通15,4.1,16202,False,2020
新城区,购物中心,普通,西安新城区普通16,4.2,22191,False,2020
新城区,购物中心,普通,西安新城区普通17,3.3,12105,True,2005
新城区,购物中心,普通,西安新城区普通18,4.2,17320,False,2005
新城区,购物中心,普通,西安新城区普通19,4.1,13335,False,2010
新城区,购物中心,普通,西安新城区普通20,3.1,16132,False,2008
新城区,购物中心,普通,西安新城区普通21,4.1,19054,True,2021
新城区,购物中心,普通,西安新城区普通22,3.9,18190,True,2019
新城区,购物中心,普通,西安新城区普通23,3.9,17120,True,2003
新城区,购物中心,普通,西安新城区普通24,3.4,14024,False,2008
新城区,购物中心,普通,西安新城区普通25,4.0,18026,True,2004
新城区,购物中心,普通,西安新城区普通26,3.0,12719,True,2002
新城区,购物中心,普通,西安新城区普通27,3.6,7892,True,2019
新城区,购物中心,普通,西安新城区普通28,3.3,20883,False,2009
新城区,餐饮,中档餐厅,西安新城区中档餐厅1,3.9,34479,True,2013
新城区,餐饮,中档餐厅,西安新城区中档餐厅2,4.2,15148,True,2002
新城区,餐饮,中档餐厅,西安新城区中档餐厅3,3.5,27424,True,2011
新城区,餐饮,中档餐厅,西安新城区中档餐厅4,3.7,28233,True,2013
新城区,餐饮,中档餐厅,西安新城区中档餐厅5,3.7,35770,True,2004
新城区,餐饮,中档餐厅,西安新城区中档餐厅6,3.6,15878,True,2006
新城区,餐饮,中档餐厅,西安新城区中档餐厅7,4.2,29508,False,2023
新城区,餐饮,中档餐厅,西安新城区中档餐厅8,4.2,30618,True,2022
新城区,餐饮,中档餐厅,西安新城区中档餐厅9,3.8,30045,False,2001
